blocksize,elapsed_time
1,1.7893e-05
2,1.7764e-05
3,1.8445e-05
4,1.7473e-05
5,1.7723e-05
6,1.8585e-05
7,1.7573e-05
8,1.7873e-05
9,1.8474e-05
10,1.7213e-05
11,1.8105e-05
12,1.7933e-05
13,1.8125e-05
14,1.8435e-05
15,1.7593e-05
16,1.8765e-05
17,1.8104e-05
18,1.7723e-05
19,1.8475e-05
20,1.7644e-05
blocksize,elapsed_time
0,1.7774e-05
1,1.7573e-05
2,1.7202e-05
3,1.8044e-05
4,1.8955e-05
5,1.7594e-05
6,1.7273e-05
7,1.7643e-05
8,1.7843e-05
9,1.7122e-05
10,1.8274e-05
11,1.6962e-05
12,1.8264e-05
13,1.7313e-05
14,1.7994e-05
15,1.7723e-05
16,1.7432e-05
17,1.7313e-05
18,1.7723e-05
19,1.7193e-05
20,1.8265e-05
blocksize,elapsed_time
0,1.8956e-05
1,1.9536e-05
2,1.8434e-05
3,1.9397e-05
4,1.8485e-05
5,1.9857e-05
6,1.8454e-05
7,1.9296e-05
8,1.8425e-05
9,1.9136e-05
10,1.8785e-05
11,1.9246e-05
12,1.8645e-05
13,1.9156e-05
14,1.8595e-05
15,1.8595e-05
16,1.9136e-05
17,1.8465e-05
18,1.9156e-05
19,1.8415e-05
20,1.8545e-05
blocksize,elapsed_time
0,1.9637e-05
1,1.8746e-05
2,1.9457e-05
3,1.8936e-05
4,1.9156e-05
5,1.8815e-05
6,1.9828e-05
7,1.8876e-05
8,1.9717e-05
9,1.8786e-05
10,1.9456e-05
11,1.8915e-05
12,1.9496e-05
13,1.8886e-05
14,1.9337e-05
15,1.9376e-05
16,1.9036e-05
17,1.9066e-05
18,1.8865e-05
19,1.9767e-05
20,1.9416e-05
blocksize,elapsed_time
0,1.9977e-05
1,1.9457e-05
2,1.9116e-05
3,1.9015e-05
4,1.9477e-05
5,1.9096e-05
6,1.9767e-05
7,1.9126e-05
8,1.9416e-05
9,1.9757e-05
10,1.9407e-05
11,1.9837e-05
12,1.9477e-05
13,1.9236e-05
14,1.9126e-05
15,1.9156e-05
16,1.9257e-05
17,1.9096e-05
18,2.0008e-05
19,1.9888e-05
20,1.8985e-05
blocksize,elapsed_time
0,1.9246e-05
1,1.9426e-05
2,1.9116e-05
3,1.9347e-05
4,1.8825e-05
5,1.9196e-05
6,1.9237e-05
7,1.8895e-05
8,1.9206e-05
9,1.9086e-05
10,1.9557e-05
11,1.8945e-05
12,1.8885e-05
13,1.8976e-05
14,1.8805e-05
15,1.9036e-05
16,1.9096e-05
17,1.9778e-05
18,1.9336e-05
19,1.8996e-05
20,1.8685e-05
blocksize,elapsed_time
0,2.0619e-05
1,2.0598e-05
2,2.0919e-05
3,2.0138e-05
4,2.0649e-05
5,2.0208e-05
6,2.0809e-05
7,2.0368e-05
8,2.0869e-05
9,2.0329e-05
10,2.3013e-05
11,2.0899e-05
12,2.0589e-05
13,2.0829e-05
14,2.0599e-05
15,2.1491e-05
16,2.0388e-05
17,2.2101e-05
18,2.128e-05
19,2.0479e-05
20,2.0468e-05
blocksize,elapsed_time
0,2.158e-05
1,2.0709e-05
2,2.117e-05
3,2.1941e-05
4,2.0579e-05
5,2.0369e-05
6,2.1421e-05
7,2.1971e-05
8,2.0699e-05
9,2.099e-05
10,2.0909e-05
11,2.0829e-05
12,2.1611e-05
13,2.0839e-05
14,2.0839e-05
15,2.128e-05
16,2.0689e-05
17,2.152e-05
18,2.0829e-05
19,2.125e-05
20,2.1491e-05
blocksize,elapsed_time
0,2.115e-05
1,2.098e-05
2,2.099e-05
3,2.1591e-05
4,2.105e-05
5,2.14e-05
6,2.0889e-05
7,2.156e-05
8,2.111e-05
9,2.0979e-05
10,2.1119e-05
11,2.103e-05
12,2.1821e-05
13,2.084e-05
14,2.127e-05
15,2.1451e-05
16,2.0929e-05
17,2.127e-05
18,2.131e-05
19,2.0739e-05
20,2.1631e-05
blocksize,elapsed_time
0,2.0398e-05
1,1.9196e-05
2,1.9326e-05
3,1.9517e-05
4,2.0128e-05
5,1.9767e-05
6,2.0208e-05
7,1.9838e-05
8,1.9988e-05
9,1.9507e-05
10,1.9887e-05
11,1.9997e-05
12,2.0028e-05
13,1.9958e-05
14,2.0438e-05
15,1.9556e-05
16,1.9447e-05
17,2.0238e-05
18,2.0068e-05
19,1.9898e-05
20,1.9908e-05
blocksize,elapsed_time
0,2.4416e-05
1,2.4697e-05
2,2.3925e-05
3,2.3074e-05
4,2.4586e-05
5,2.5178e-05
6,2.3034e-05
7,2.5098e-05
8,2.5087e-05
9,2.4886e-05
10,2.4446e-05
11,2.4947e-05
12,2.4927e-05
13,2.2161e-05
14,2.4406e-05
15,2.4667e-05
16,2.2512e-05
17,2.5458e-05
18,2.4606e-05
19,2.4516e-05
20,2.4145e-05
blocksize,elapsed_time
0,2.4767e-05
1,2.3875e-05
2,3.0938e-05
3,2.5117e-05
4,2.3524e-05
5,2.5287e-05
6,2.5368e-05
7,2.2903e-05
8,2.5077e-05
9,2.4395e-05
10,2.3504e-05
11,2.5218e-05
12,2.5197e-05
13,2.4236e-05
14,2.5148e-05
15,2.4667e-05
16,2.4987e-05
17,2.4947e-05
18,2.4857e-05
19,2.4105e-05
20,2.4797e-05
blocksize,elapsed_time
0,2.5458e-05
1,2.5698e-05
2,2.6159e-05
3,2.4045e-05
4,2.5338e-05
5,2.643e-05
6,2.3334e-05
7,2.5518e-05
8,2.4536e-05
9,2.4697e-05
10,2.5228e-05
11,2.5318e-05
12,2.4897e-05
13,2.5639e-05
14,2.5057e-05
15,2.5318e-05
16,2.5748e-05
17,2.4125e-05
18,2.5508e-05
19,2.4997e-05
20,2.3594e-05
