blocksize,elapsed_time
0,1.3606e-05
1,1.3766e-05
2,1.3696e-05
3,1.3826e-05
4,1.3135e-05
5,1.3836e-05
6,1.4647e-05
7,1.3706e-05
8,1.4708e-05
9,1.3856e-05
10,1.4989e-05
11,1.3856e-05
12,1.3786e-05
13,1.3786e-05
14,1.3556e-05
15,1.3685e-05
16,1.3686e-05
17,1.3735e-05
18,1.3656e-05
19,1.3435e-05
20,1.3656e-05
21,1.5269e-05
22,1.3746e-05
23,1.4758e-05
24,1.3696e-05
25,1.552e-05
26,1.3867e-05
27,1.3916e-05
28,1.3736e-05
29,1.3705e-05
30,1.3906e-05
31,1.3696e-05
32,1.3706e-05
33,1.3686e-05
34,1.3586e-05
35,1.3766e-05
36,1.3225e-05
37,1.3686e-05
38,1.4697e-05
39,1.3836e-05
40,1.4788e-05
41,1.3676e-05
42,1.4718e-05
43,1.3796e-05
44,1.3776e-05
45,1.3385e-05
46,1.3806e-05
47,1.3706e-05
48,1.3736e-05
49,1.3395e-05
50,1.3906e-05
51,1.3075e-05
52,1.3926e-05
53,1.5338e-05
54,1.3786e-05
55,1.4828e-05
56,1.3826e-05
57,1.4598e-05
58,1.3596e-05
59,1.3776e-05
60,1.3615e-05
61,1.3705e-05
62,1.3345e-05
63,1.3766e-05
64,1.3626e-05
65,1.3826e-05
66,1.3636e-05
67,1.3796e-05
68,1.3154e-05
69,1.3685e-05
70,1.4728e-05
71,1.3836e-05
72,1.4647e-05
73,1.3696e-05
74,1.4608e-05
75,1.3726e-05
76,1.3275e-05
77,1.3706e-05
78,1.3686e-05
79,1.3756e-05
80,1.3735e-05
81,1.4467e-05
82,1.5489e-05
83,1.6111e-05
84,1.9507e-05
85,2.0148e-05
86,1.3916e-05
87,1.4828e-05
88,1.3786e-05
89,1.4437e-05
90,1.3736e-05
91,1.3756e-05
92,1.3676e-05
93,1.3686e-05
94,1.3255e-05
95,1.3686e-05
96,1.3786e-05
97,1.3786e-05
98,1.3435e-05
99,1.3625e-05
blocksize,elapsed_time
0,1.3675e-05
1,1.4187e-05
2,1.5389e-05
3,1.4236e-05
4,1.5489e-05
5,1.4287e-05
6,1.5349e-05
7,1.4197e-05
8,1.4407e-05
9,1.4547e-05
10,1.4507e-05
11,1.4457e-05
12,1.4447e-05
13,1.6411e-05
14,1.4247e-05
15,1.3626e-05
16,1.4327e-05
17,1.593e-05
18,1.4246e-05
19,1.5299e-05
20,1.4397e-05
21,1.5088e-05
22,1.4207e-05
23,1.5278e-05
24,1.4247e-05
25,1.4277e-05
26,1.4427e-05
27,1.4256e-05
28,1.4387e-05
29,1.4417e-05
30,1.571e-05
31,1.8595e-05
32,1.9397e-05
33,1.8184e-05
34,1.6271e-05
35,1.4367e-05
36,1.5349e-05
37,1.6541e-05
38,2.0158e-05
39,1.5399e-05
40,1.4316e-05
41,1.4438e-05
42,1.4918e-05
43,1.4347e-05
44,1.4478e-05
45,1.4417e-05
46,1.4237e-05
47,1.3596e-05
48,1.5108e-05
49,1.59e-05
50,1.4107e-05
51,1.558e-05
52,1.3917e-05
53,1.5599e-05
54,1.4287e-05
55,1.4497e-05
56,1.4347e-05
57,1.4317e-05
58,1.3916e-05
59,1.4237e-05
60,1.4247e-05
61,1.4327e-05
62,1.3696e-05
63,1.4337e-05
64,1.3636e-05
65,1.4397e-05
66,1.6501e-05
67,1.4517e-05
68,1.5549e-05
69,1.4547e-05
70,1.5068e-05
71,1.4368e-05
72,1.4167e-05
73,1.4096e-05
74,1.4267e-05
75,1.4327e-05
76,1.4437e-05
77,1.4367e-05
78,1.4247e-05
79,1.3756e-05
80,1.4287e-05
81,1.582e-05
82,1.4337e-05
83,1.5379e-05
84,1.4457e-05
85,1.5359e-05
86,1.3886e-05
87,1.4788e-05
88,1.4306e-05
89,1.6752e-05
90,1.7684e-05
91,1.7373e-05
92,1.5449e-05
93,1.4237e-05
94,1.4598e-05
95,1.4999e-05
96,1.4497e-05
97,1.4448e-05
98,1.9126e-05
99,1.4808e-05
blocksize,elapsed_time
0,1.6622e-05
1,1.4958e-05
2,1.61e-05
3,1.5049e-05
4,1.5068e-05
5,1.5188e-05
6,1.5119e-05
7,1.5058e-05
8,1.5059e-05
9,1.5078e-05
10,1.4988e-05
11,1.4477e-05
12,1.4998e-05
13,1.6852e-05
14,1.5329e-05
15,1.6121e-05
16,1.4948e-05
17,1.568e-05
18,1.4858e-05
19,1.4928e-05
20,1.4858e-05
21,1.4868e-05
22,1.4518e-05
23,1.5018e-05
24,1.587e-05
25,1.4848e-05
26,1.4878e-05
27,1.4527e-05
28,1.4618e-05
29,1.4758e-05
30,1.6161e-05
31,1.4798e-05
32,1.6181e-05
33,1.4447e-05
34,1.612e-05
35,1.4898e-05
36,1.4568e-05
37,1.4427e-05
38,1.4918e-05
39,1.4737e-05
40,1.4818e-05
41,1.4808e-05
42,1.4748e-05
43,1.4247e-05
44,1.4858e-05
45,1.6231e-05
46,1.4968e-05
47,1.5819e-05
48,1.4948e-05
49,1.573e-05
50,1.4868e-05
51,1.6541e-05
52,2.0449e-05
53,2.4065e-05
54,1.5559e-05
55,1.4988e-05
56,1.5129e-05
57,1.5028e-05
58,1.5099e-05
59,1.4828e-05
60,1.4257e-05
61,1.4778e-05
62,1.6071e-05
63,1.4417e-05
64,1.599e-05
65,1.4918e-05
66,1.605e-05
67,1.4758e-05
68,1.4868e-05
69,1.4448e-05
70,1.5078e-05
71,1.4517e-05
72,1.4908e-05
73,1.4778e-05
74,1.4858e-05
75,1.4196e-05
76,1.5069e-05
77,1.63e-05
78,1.4848e-05
79,1.577e-05
80,1.4828e-05
81,1.598e-05
82,1.5029e-05
