blocksize,elapsed_time
11,1.6872e-05
12,1.7132e-05
13,1.7703e-05
14,1.6692e-05
15,1.7003e-05
16,1.6892e-05
17,1.6762e-05
18,1.7193e-05
19,1.7132e-05
20,1.6811e-05
blocksize,elapsed_time
0,1.6791e-05
1,1.6672e-05
2,1.6862e-05
3,1.7173e-05
4,1.6862e-05
5,1.6371e-05
6,1.6732e-05
7,1.6391e-05
8,1.7082e-05
9,1.7092e-05
10,1.627e-05
11,1.7573e-05
12,1.622e-05
13,1.6401e-05
14,1.6381e-05
15,1.62e-05
16,1.6431e-05
17,1.6892e-05
18,1.6321e-05
19,1.6401e-05
20,1.6942e-05
blocksize,elapsed_time
0,1.6471e-05
1,1.6471e-05
2,1.7242e-05
3,1.6872e-05
4,1.6481e-05
5,1.6782e-05
6,1.6842e-05
7,1.6721e-05
8,1.7022e-05
9,1.6831e-05
10,1.6782e-05
11,1.7192e-05
12,1.7162e-05
13,1.6872e-05
14,1.6561e-05
15,1.6901e-05
16,1.6421e-05
17,1.7132e-05
18,1.6592e-05
19,1.7082e-05
20,1.6752e-05
blocksize,elapsed_time
0,1.7092e-05
1,1.7022e-05
2,1.6741e-05
3,1.6331e-05
4,1.6922e-05
5,1.7263e-05
6,1.6421e-05
7,1.6481e-05
8,1.6992e-05
9,1.7222e-05
10,1.6351e-05
11,1.6901e-05
12,1.6602e-05
13,1.6441e-05
14,1.6281e-05
15,1.6251e-05
16,1.6421e-05
17,1.619e-05
18,1.632e-05
19,1.7092e-05
20,1.6572e-05
blocksize,elapsed_time
0,1.6111e-05
1,1.6311e-05
2,1.7442e-05
3,1.6552e-05
4,1.6461e-05
5,1.6652e-05
6,1.633e-05
7,1.6301e-05
8,1.6651e-05
9,1.6752e-05
10,1.6531e-05
11,1.6811e-05
12,1.6592e-05
13,1.7142e-05
14,1.6101e-05
15,1.6511e-05
16,1.6321e-05
17,1.7122e-05
18,1.6521e-05
19,1.6441e-05
20,1.6561e-05
blocksize,elapsed_time
0,1.6511e-05
1,1.6091e-05
2,1.6231e-05
3,1.612e-05
4,1.6722e-05
5,1.6511e-05
6,1.616e-05
7,1.6371e-05
8,1.7513e-05
9,1.6511e-05
10,1.6922e-05
11,1.623e-05
12,1.6922e-05
13,1.6301e-05
14,1.7593e-05
15,1.6451e-05
16,1.7162e-05
17,1.6481e-05
18,1.633e-05
19,1.6551e-05
20,1.6762e-05
blocksize,elapsed_time
0,1.6862e-05
1,1.6932e-05
2,1.6751e-05
3,1.6782e-05
4,1.7232e-05
5,1.6771e-05
6,1.6711e-05
7,1.6842e-05
8,1.6802e-05
9,1.6581e-05
10,1.6811e-05
11,1.6641e-05
12,1.6671e-05
13,1.6691e-05
14,1.6612e-05
15,1.6671e-05
16,1.6742e-05
17,1.6742e-05
18,1.6551e-05
19,1.6491e-05
20,1.622e-05
blocksize,elapsed_time
0,1.6401e-05
1,1.6361e-05
2,1.6331e-05
3,1.6591e-05
4,1.63e-05
5,1.598e-05
6,1.6451e-05
7,1.608e-05
8,1.6381e-05
9,1.6141e-05
10,1.637e-05
11,1.6131e-05
12,1.6461e-05
13,1.573e-05
14,1.6291e-05
15,1.6251e-05
16,1.6241e-05
17,1.616e-05
18,1.6521e-05
19,1.604e-05
20,1.6311e-05
blocksize,elapsed_time
0,1.592e-05
1,1.6e-05
2,1.634e-05
3,1.6741e-05
4,1.6571e-05
5,1.6812e-05
6,1.6051e-05
7,1.6642e-05
8,1.613e-05
9,1.6231e-05
10,1.599e-05
11,1.608e-05
12,1.613e-05
13,1.6351e-05
14,1.589e-05
15,1.6601e-05
16,1.592e-05
17,1.6151e-05
18,1.626e-05
19,1.59e-05
20,1.616e-05
blocksize,elapsed_time
0,1.6431e-05
1,1.609e-05
2,1.602e-05
3,1.628e-05
4,1.596e-05
5,1.601e-05
6,1.618e-05
7,1.6141e-05
8,1.617e-05
9,1.613e-05
10,1.621e-05
11,1.6461e-05
12,1.6101e-05
13,1.6121e-05
14,1.64e-05
15,1.605e-05
16,1.6341e-05
17,1.599e-05
18,1.6731e-05
19,1.612e-05
20,1.6181e-05
blocksize,elapsed_time
0,1.6351e-05
1,1.6391e-05
2,1.6301e-05
3,1.6511e-05
4,1.6271e-05
5,1.609e-05
6,1.6381e-05
7,1.6151e-05
8,1.62e-05
9,1.629e-05
10,1.6021e-05
11,1.624e-05
12,1.622e-05
13,1.609e-05
14,1.6251e-05
15,1.6211e-05
16,1.606e-05
17,1.594e-05
18,1.612e-05
19,1.599e-05
20,1.614e-05
blocksize,elapsed_time
0,1.6531e-05
1,1.593e-05
2,1.6611e-05
3,1.586e-05
4,1.594e-05
5,1.625e-05
6,1.615e-05
7,1.6061e-05
8,1.6601e-05
9,1.597e-05
10,1.6722e-05
11,1.6121e-05
12,1.6381e-05
13,1.6141e-05
14,1.612e-05
15,1.632e-05
16,1.6381e-05
17,1.605e-05
18,1.6311e-05
19,1.6801e-05
20,1.6802e-05
blocksize,elapsed_time
0,1.612e-05
1,1.613e-05
2,1.627e-05
3,1.613e-05
4,1.6822e-05
5,1.7633e-05
6,1.6411e-05
7,1.7353e-05
8,1.611e-05
9,1.6381e-05
10,1.593e-05
11,1.6231e-05
12,1.6561e-05
13,1.621e-05
14,1.619e-05
15,1.6371e-05
16,1.627e-05
17,1.6602e-05
18,1.6481e-05
19,1.615e-05
20,1.602e-05
blocksize,elapsed_time
0,1.6671e-05
1,1.7013e-05
2,1.7012e-05
3,1.6682e-05
4,1.603e-05
5,1.579e-05
6,1.621e-05
7,1.6541e-05
8,1.618e-05
9,1.6111e-05
10,1.604e-05
11,1.58e-05
12,1.6311e-05
13,1.6141e-05
14,1.6371e-05
15,1.6201e-05
16,1.597e-05
17,1.6451e-05
18,1.6401e-05
19,1.6662e-05
20,1.6992e-05
blocksize,elapsed_time
0,1.6471e-05
1,1.6752e-05
2,1.7783e-05
3,1.7302e-05
4,1.7382e-05
5,1.7784e-05
6,1.6612e-05
7,1.8355e-05
8,1.8435e-05
9,1.7042e-05
10,1.7383e-05
11,1.8325e-05
12,1.589e-05
13,1.6151e-05
14,1.59e-05
15,1.6401e-05
16,1.7383e-05
17,1.627e-05
18,1.6311e-05
19,1.6211e-05
20,1.7693e-05
blocksize,elapsed_time
0,1.8735e-05
1,1.6421e-05
2,1.9216e-05
3,1.7733e-05
4,1.6201e-05
5,1.6171e-05
6,1.7353e-05
7,1.7042e-05
8,1.8755e-05
9,1.6271e-05
10,1.7924e-05
11,1.7453e-05
12,1.7653e-05
13,1.7744e-05
14,1.8595e-05
15,1.7413e-05
16,1.9156e-05
17,1.6932e-05
18,1.7693e-05
19,1.6901e-05
20,1.7533e-05
blocksize,elapsed_time
0,1.7923e-05
1,1.6561e-05
2,1.7693e-05
3,1.7924e-05
4,1.8495e-05
5,1.7362e-05
6,1.8465e-05
7,1.7433e-05
8,1.7633e-05
9,1.637e-05
10,2.0358e-05
11,1.8474e-05
12,1.6982e-05
13,1.7964e-05
14,1.7983e-05
15,1.7452e-05
16,1.7112e-05
17,1.9116e-05
18,1.8324e-05
19,1.6672e-05
20,1.7523e-05
blocksize,elapsed_time
0,1.6522e-05
1,1.6401e-05
2,1.6331e-05
3,1.6301e-05
4,1.8084e-05
5,1.6501e-05
6,1.6531e-05
7,1.6882e-05
8,1.6751e-05
9,1.7763e-05
10,1.6852e-05
11,1.6561e-05
12,1.6211e-05
13,1.7393e-05
14,1.6872e-05
15,1.6541e-05
16,1.7182e-05
17,1.621e-05
18,1.6591e-05
19,1.629e-05
20,1.6391e-05
blocksize,elapsed_time
0,1.6381e-05
1,1.6391e-05
2,1.6341e-05
3,1.6281e-05
4,1.628e-05
5,1.8445e-05
6,1.7162e-05
7,1.7683e-05
8,1.6431e-05
9,1.7833e-05
10,1.7533e-05
11,1.7183e-05
12,1.6972e-05
13,1.7182e-05
14,1.8185e-05
15,1.7403e-05
16,1.7173e-05
17,1.7724e-05
18,1.7393e-05
19,1.7243e-05
20,1.6341e-05
blocksize,elapsed_time
0,1.6762e-05
1,1.6511e-05
2,1.6692e-05
3,1.6992e-05
4,1.7022e-05
5,1.6862e-05
6,1.9076e-05
7,1.6862e-05
8,1.8305e-05
9,1.7924e-05
10,1.6882e-05
11,1.621e-05
12,1.7322e-05
13,1.6862e-05
14,1.6852e-05
15,1.6291e-05
16,1.6522e-05
17,1.6281e-05
18,1.6712e-05
19,1.7152e-05
20,1.6602e-05
blocksize,elapsed_time
0,1.8144e-05
1,1.7573e-05
2,1.7163e-05
3,1.6871e-05
4,1.7924e-05
5,1.6752e-05
6,1.8004e-05
7,1.7733e-05
8,1.6681e-05
9,1.6752e-05
10,1.8345e-05
11,1.8585e-05
12,1.8715e-05
13,1.7873e-05
14,1.7343e-05
15,1.8816e-05
16,1.7884e-05
17,1.6802e-05
18,1.6531e-05
19,1.6741e-05
20,1.7613e-05
blocksize,elapsed_time
0,1.6931e-05
1,1.8875e-05
2,1.7924e-05
3,1.6831e-05
4,1.7784e-05
5,1.6992e-05
6,1.6401e-05
7,1.7863e-05
8,1.8174e-05
9,1.7623e-05
10,1.633e-05
11,1.7303e-05
12,1.7113e-05
13,1.7603e-05
14,1.6712e-05
15,1.7012e-05
16,1.6852e-05
17,1.6331e-05
18,1.6331e-05
19,1.6441e-05
20,1.6431e-05
blocksize,elapsed_time
0,1.9046e-05
1,1.8204e-05
2,1.7613e-05
3,1.7022e-05
4,1.9046e-05
5,1.7984e-05
6,1.6801e-05
7,1.7012e-05
8,1.6801e-05
9,1.7813e-05
10,1.7012e-05
11,1.6692e-05
12,1.6762e-05
13,2.0709e-05
14,1.7062e-05
15,2.0278e-05
16,1.9006e-05
17,1.6782e-05
18,1.7232e-05
19,1.7413e-05
20,1.7272e-05
blocksize,elapsed_time
0,1.6461e-05
1,1.6311e-05
2,1.6992e-05
3,1.8635e-05
4,1.8034e-05
5,1.6962e-05
6,1.8084e-05
7,1.7082e-05
8,1.7994e-05
9,1.7613e-05
10,1.7884e-05
11,1.7293e-05
12,1.8145e-05
13,1.7152e-05
